ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
NaMeoTuyenQuang-1_one-1,,NaMeoTuyenQuang,1_one,tɕu⁵⁵,tɕu⁵⁵,tɕ u ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-2_two-1,,NaMeoTuyenQuang,2_two,ɔ⁵³,ɔ⁵³,ɔ ⁵³,,Hsiu2015,,
Zhenmin-3_three-1,,Zhenmin,3_three,pe³³/1,pe³³,p e ³³,,Chen2013,,
NorthernQiandong-3_three-1,,NorthernQiandong,3_three,pi³³,pi³³,p i ³³,,Chen2013,,
WesternQiandong-3_three-1,,WesternQiandong,3_three,poi⁴⁴,poi⁴⁴,p oi ⁴⁴,,Chen2013,,
Baixing-3_three-1,,Baixing,3_three,pue⁴⁴/1,pue⁴⁴,p u e ⁴⁴,,Li2000,,
SouthernQiandong-3_three-1,,SouthernQiandong,3_three,pai¹³,pai¹³,p ai ¹³,,Chen2013,,
Datu-3_three-1,,Datu,3_three,pe²⁴/1,pe²⁴,p e ²⁴,,Li2000,,
Xiangao-3_three-1,,Xiangao,3_three,pei³³/1,pei³³,p e i ³³,,Li2000,,
NaMeoCaoBang-3_three-1,,NaMeoCaoBang,3_three,pɑi³³,pɑi³³,p ɑi ³³,,Edmondson2001,,
Yangpai-3_three-1,,Yangpai,3_three,pɑ³³/1,pɑ³³,p ɑ ³³,,Li2000,,
Guncen-3_three-1,,Guncen,3_three,pan1,pan1,p a n ¹,,Committee2008,,
EasternQiandong-3_three-1,,EasternQiandong,3_three,pɛ²⁴,pɛ²⁴,p ɛ ²⁴,,Chen2013,,
NaMeoTuyenQuang-3_three-1,,NaMeoTuyenQuang,3_three,pai⁵³,pai⁵³,p ai ⁵³,,Hsiu2015,,
Zhenmin-4_four-1,,Zhenmin,4_four,ɬɒ³³/1,ɬɒ³³,ɬ ɒ ³³,,Chen2013,,
NorthernQiandong-4_four-1,,NorthernQiandong,4_four,ɬo³³,ɬo³³,ɬ o ³³,,Chen2013,,
